Date,BUDAPEST,BARANYA,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
04/02/2013,152,194,6,23,90,55,27,40,39,25,18,19,76,138,53,3,40,28,42,73
11/02/2013,107,66,33,55,63,35,24,31,113,22,35,9,20,128,36,16,13,58,81,2
18/02/2013,185,29,13,32,45,12,38,42,51,32,38,2,50,239,35,29,54,27,65,37
25/02/2013,110,185,47,39,84,49,18,47,89,29,48,19,38,196,61,30,29,27,65,13
04/03/2013,138,51,11,27,53,9,21,31,69,36,51,1,23,108,32,20,90,16,29,23
11/03/2013,100,81,39,15,66,1,29,41,62,31,59,0,32,160,86,55,71,13,54,15
18/03/2013,228,68,41,65,77,27,23,55,70,28,59,18,51,131,29,7,38,48,43,17
25/03/2013,130,110,12,50,107,8,10,38,180,42,90,46,23,331,96,113,119,32,49,6
01/04/2013,137,38,22,8,40,57,11,49,39,19,61,11,44,155,106,32,60,21,31,11
08/04/2013,235,27,21,13,109,8,23,47,114,69,55,35,28,168,44,32,102,38,62,2
15/04/2013,138,27,38,14,83,10,17,42,54,38,78,13,34,137,34,96,131,24,52,17
22/04/2013,166,54,31,30,55,18,33,86,34,45,56,34,61,144,25,29,73,73,67,13
29/04/2013,122,54,50,43,39,1,34,54,108,37,32,17,30,119,58,47,55,15,40,1
06/05/2013,149,80,34,8,139,9,30,54,79,16,64,48,54,126,33,61,99,33,3,3
13/05/2013,124,115,40,4,85,70,24,45,47,9,20,28,44,239,50,71,88,46,36,18
20/05/2013,187,44,46,5,52,64,40,46,48,11,37,19,49,133,13,38,59,38,24,13
27/05/2013,195,67,55,8,59,10,31,48,96,8,30,39,40,140,93,51,31,17,23,9
03/06/2013,130,58,12,6,37,1,20,24,57,7,28,9,27,129,73,27,50,39,26,12
10/06/2013,126,47,35,28,75,12,31,21,39,10,24,28,53,97,35,75,27,21,32,5
17/06/2013,154,105,5,7,42,37,8,40,59,24,50,22,35,121,40,20,15,34,46,19
24/06/2013,149,106,37,12,67,78,32,27,65,15,10,8,62,66,52,96,46,21,18,17
01/07/2013,106,35,22,70,15,13,17,10,9,4,38,19,32,56,26,44,12,16,25,12
08/07/2013,151,30,28,14,54,19,11,30,25,26,11,12,29,42,3,74,8,5,8,18
15/07/2013,100,11,22,1,81,1,6,8,61,10,10,13,25,34,10,14,32,11,15,11
22/07/2013,91,36,11,8,17,2,1,30,15,14,12,21,25,30,12,24,13,10,3,5
29/07/2013,46,84,8,5,7,35,3,10,4,7,3,34,7,62,10,9,2,1,3,4
05/08/2013,38,10,16,3,20,0,5,1,5,5,1,5,7,9,11,0,0,0,4,3
12/08/2013,13,0,0,2,3,41,0,0,10,9,2,0,0,8,4,0,0,0,3,2
19/08/2013,22,0,3,0,2,16,2,1,1,2,3,0,2,4,0,6,5,0,3,4
26/08/2013,33,1,9,3,6,3,0,6,0,2,4,0,1,4,2,2,7,11,7,0
02/09/2013,9,1,0,0,8,11,3,3,0,0,2,0,0,2,5,2,1,2,0,1
09/09/2013,14,1,1,1,13,0,0,20,8,0,2,0,1,0,0,0,1,1,0,0
16/09/2013,48,0,3,1,3,1,1,1,2,4,1,4,2,4,4,0,0,0,1,0
23/09/2013,7,3,5,1,3,2,11,8,2,2,8,1,1,6,3,4,0,2,2,0
